subject category,predicate,object category,begin_fid,end_fid,video_id
dog,stand_behind,frisbee,0,30,ILSVRC2015_train_00005003
dog,taller,frisbee,0,30,ILSVRC2015_train_00005003
dog,larger,frisbee,0,30,ILSVRC2015_train_00005003
dog,bite,frisbee,0,30,ILSVRC2015_train_00005003
dog,hold,frisbee,0,30,ILSVRC2015_train_00005003
frisbee,front,dog,0,30,ILSVRC2015_train_00005003
dog,stand_behind,frisbee,15,45,ILSVRC2015_train_00005003
dog,taller,frisbee,15,45,ILSVRC2015_train_00005003
dog,larger,frisbee,15,45,ILSVRC2015_train_00005003
dog,bite,frisbee,15,45,ILSVRC2015_train_00005003
dog,hold,frisbee,15,45,ILSVRC2015_train_00005003
frisbee,front,dog,15,45,ILSVRC2015_train_00005003
dog,stand_behind,frisbee,30,60,ILSVRC2015_train_00005003
dog,taller,frisbee,30,60,ILSVRC2015_train_00005003
dog,larger,frisbee,30,60,ILSVRC2015_train_00005003
dog,bite,frisbee,30,60,ILSVRC2015_train_00005003
dog,hold,frisbee,30,60,ILSVRC2015_train_00005003
frisbee,front,dog,30,60,ILSVRC2015_train_00005003
dog,bite,frisbee,60,90,ILSVRC2015_train_00005005
dog,bite,frisbee,105,135,ILSVRC2015_train_00005005
dog,bite,frisbee,60,90,ILSVRC2015_train_00005015
dog,bite,frisbee,105,135,ILSVRC2015_train_00005015
dog,run_front,dog,0,30,ILSVRC2015_train_00005016
dog,run_away,dog,0,30,ILSVRC2015_train_00005016
dog,run_behind,dog,0,30,ILSVRC2015_train_00005016
dog,chase,dog,0,30,ILSVRC2015_train_00005016
cattle,walk_behind,cattle,180,210,ILSVRC2015_train_00008004
cattle,walk_toward,cattle,180,210,ILSVRC2015_train_00008004
cattle,walk_left,cattle,180,210,ILSVRC2015_train_00008004
cattle,stand_right,cattle,180,210,ILSVRC2015_train_00008004
cattle,stand_front,cattle,180,210,ILSVRC2015_train_00008004
cattle,walk_behind,cattle,195,225,ILSVRC2015_train_00008004
cattle,walk_toward,cattle,195,225,ILSVRC2015_train_00008004
cattle,walk_left,cattle,195,225,ILSVRC2015_train_00008004
cattle,stand_right,cattle,195,225,ILSVRC2015_train_00008004
cattle,stand_front,cattle,195,225,ILSVRC2015_train_00008004
cattle,walk_behind,cattle,210,240,ILSVRC2015_train_00008004
cattle,walk_toward,cattle,210,240,ILSVRC2015_train_00008004
cattle,walk_left,cattle,210,240,ILSVRC2015_train_00008004
cattle,stand_right,cattle,210,240,ILSVRC2015_train_00008004
cattle,stand_front,cattle,210,240,ILSVRC2015_train_00008004
cattle,walk_behind,cattle,225,255,ILSVRC2015_train_00008004
cattle,walk_left,cattle,225,255,ILSVRC2015_train_00008004
cattle,stand_right,cattle,225,255,ILSVRC2015_train_00008004
cattle,stand_front,cattle,225,255,ILSVRC2015_train_00008004
cattle,behind,cattle,240,270,ILSVRC2015_train_00008004
cattle,left,cattle,240,270,ILSVRC2015_train_00008004
cattle,stand_right,cattle,240,270,ILSVRC2015_train_00008004
cattle,stand_front,cattle,240,270,ILSVRC2015_train_00008004
cattle,behind,cattle,255,285,ILSVRC2015_train_00008004
cattle,left,cattle,255,285,ILSVRC2015_train_00008004
cattle,stand_right,cattle,255,285,ILSVRC2015_train_00008004
cattle,stand_front,cattle,255,285,ILSVRC2015_train_00008004
cattle,stand_behind,cattle,270,300,ILSVRC2015_train_00008004
cattle,stand_left,cattle,270,300,ILSVRC2015_train_00008004
cattle,stand_right,cattle,270,300,ILSVRC2015_train_00008004
cattle,stand_front,cattle,270,300,ILSVRC2015_train_00008004
cattle,stand_behind,cattle,285,315,ILSVRC2015_train_00008004
cattle,stand_left,cattle,285,315,ILSVRC2015_train_00008004
cattle,stand_right,cattle,285,315,ILSVRC2015_train_00008004
cattle,stand_front,cattle,285,315,ILSVRC2015_train_00008004
cattle,stand_behind,cattle,300,330,ILSVRC2015_train_00008004
cattle,stand_left,cattle,300,330,ILSVRC2015_train_00008004
cattle,stand_right,cattle,300,330,ILSVRC2015_train_00008004
cattle,stand_front,cattle,300,330,ILSVRC2015_train_00008004
cattle,stand_behind,cattle,315,345,ILSVRC2015_train_00008004
cattle,stand_left,cattle,315,345,ILSVRC2015_train_00008004
cattle,stand_right,cattle,315,345,ILSVRC2015_train_00008004
cattle,stand_front,cattle,315,345,ILSVRC2015_train_00008004
cattle,stand_behind,cattle,330,360,ILSVRC2015_train_00008004
cattle,stand_left,cattle,330,360,ILSVRC2015_train_00008004
cattle,stand_right,cattle,330,360,ILSVRC2015_train_00008004
cattle,stand_front,cattle,330,360,ILSVRC2015_train_00008004
cattle,stand_behind,cattle,345,375,ILSVRC2015_train_00008004
cattle,stand_left,cattle,345,375,ILSVRC2015_train_00008004
cattle,stand_right,cattle,345,375,ILSVRC2015_train_00008004
cattle,stand_front,cattle,345,375,ILSVRC2015_train_00008004
cattle,stand_behind,cattle,360,390,ILSVRC2015_train_00008004
cattle,stand_left,cattle,360,390,ILSVRC2015_train_00008004
cattle,stand_right,cattle,360,390,ILSVRC2015_train_00008004
cattle,stand_front,cattle,360,390,ILSVRC2015_train_00008004
cattle,stand_behind,cattle,405,435,ILSVRC2015_train_00008004
cattle,stand_left,cattle,405,435,ILSVRC2015_train_00008004
cattle,stand_right,cattle,405,435,ILSVRC2015_train_00008004
cattle,stand_front,cattle,405,435,ILSVRC2015_train_00008004
cattle,walk_behind,cattle,525,555,ILSVRC2015_train_00008004
cattle,walk_toward,cattle,525,555,ILSVRC2015_train_00008004
cattle,walk_left,cattle,525,555,ILSVRC2015_train_00008004
cattle,stand_right,cattle,525,555,ILSVRC2015_train_00008004
cattle,stand_front,cattle,525,555,ILSVRC2015_train_00008004
cattle,stand_right,cattle,0,30,ILSVRC2015_train_00008005
cattle,stand_behind,cattle,0,30,ILSVRC2015_train_00008005
cattle,stand_front,cattle,0,30,ILSVRC2015_train_00008005
cattle,stand_left,cattle,0,30,ILSVRC2015_train_00008005
cattle,stand_right,cattle,0,30,ILSVRC2015_train_00008005
cattle,stand_behind,cattle,0,30,ILSVRC2015_train_00008005
cattle,stand_front,cattle,0,30,ILSVRC2015_train_00008005
cattle,stand_left,cattle,0,30,ILSVRC2015_train_00008005
cattle,stand_front,cattle,0,30,ILSVRC2015_train_00008005
cattle,stand_left,cattle,0,30,ILSVRC2015_train_00008005
cattle,taller,cattle,0,30,ILSVRC2015_train_00008005
cattle,larger,cattle,0,30,ILSVRC2015_train_00008005
cattle,stand_right,cattle,0,30,ILSVRC2015_train_00008005
cattle,stand_behind,cattle,0,30,ILSVRC2015_train_00008005
cattle,stand_right,cattle,60,90,ILSVRC2015_train_00008005
cattle,stand_behind,cattle,60,90,ILSVRC2015_train_00008005
cattle,stand_front,cattle,60,90,ILSVRC2015_train_00008005
